0,Basketball,Basketball Men's Basketball
1,Judo,Judo Men's Extra-Lightweight
2,Football,Football Men's Football
3,Tug-Of-War,Tug-Of-War Men's Tug-Of-War
4,Speed Skating,Speed Skating Women's 500 metres
5,Speed Skating,"Speed Skating Women's 1,000 metres"
6,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres
7,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres
8,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit
9,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
10,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
11,Athletics,Athletics Women's 100 metres
12,Athletics,Athletics Women's 4 x 100 metres Relay
13,Ice Hockey,Ice Hockey Men's Ice Hockey
14,Swimming,Swimming Men's 400 metres Freestyle
15,Badminton,Badminton Men's Singles
16,Sailing,Sailing Women's Windsurfer
17,Biathlon,Biathlon Women's 7.5 kilometres Sprint
18,Swimming,Swimming Men's 200 metres Breaststroke
19,Swimming,Swimming Men's 400 metres Breaststroke
20,Gymnastics,Gymnastics Men's Individual All-Around
21,Gymnastics,Gymnastics Men's Team All-Around
22,Gymnastics,Gymnastics Men's Floor Exercise
23,Gymnastics,Gymnastics Men's Horse Vault
24,Gymnastics,Gymnastics Men's Parallel Bars
25,Gymnastics,Gymnastics Men's Horizontal Bar
26,Gymnastics,Gymnastics Men's Rings
27,Gymnastics,Gymnastics Men's Pommelled Horse
28,Athletics,Athletics Men's Shot Put
29,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event"
30,Alpine Skiing,Alpine Skiing Men's Downhill
31,Alpine Skiing,Alpine Skiing Men's Super G
32,Alpine Skiing,Alpine Skiing Men's Giant Slalom
33,Alpine Skiing,Alpine Skiing Men's Slalom
34,Alpine Skiing,Alpine Skiing Men's Combined
35,Handball,Handball Women's Handball
36,Weightlifting,Weightlifting Women's Super-Heavyweight
37,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman"
38,Speed Skating,Speed Skating Men's 500 metres
39,Speed Skating,"Speed Skating Men's 1,500 metres"
40,Gymnastics,"Gymnastics Men's Team All-Around, Free System"
41,Luge,Luge Women's Singles
42,Water Polo,Water Polo Men's Water Polo
43,Sailing,Sailing Mixed Three Person Keelboat
44,Hockey,Hockey Women's Hockey
45,Rowing,Rowing Men's Lightweight Double Sculls
46,Athletics,Athletics Men's Pole Vault
47,Athletics,Athletics Men's High Jump
48,Sailing,Sailing Men's Two Person Dinghy
49,Athletics,"Athletics Men's 1,500 metres"
50,Bobsleigh,Bobsleigh Men's Four
51,Swimming,Swimming Men's 100 metres Butterfly
52,Swimming,Swimming Men's 200 metres Butterfly
53,Swimming,Swimming Men's 4 x 100 metres Medley Relay
54,Football,Football Women's Football
55,Fencing,"Fencing Men's Foil, Individual"
56,Fencing,"Fencing Men's epee, Individual"
57,Fencing,"Fencing Men's epee, Team"
58,Speed Skating,"Speed Skating Men's 5,000 metres"
59,Speed Skating,"Speed Skating Men's 10,000 metres"
60,Sailing,Sailing Mixed 8 metres
61,Equestrianism,"Equestrianism Mixed Jumping, Individual"
62,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
63,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
64,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
65,Shooting,Shooting Men's Trap
66,Athletics,Athletics Men's 4 x 100 metres Relay
67,Athletics,Athletics Men's Long Jump
68,Boxing,Boxing Men's Light-Welterweight
69,Athletics,Athletics Women's Javelin Throw
70,Wrestling,"Wrestling Men's Heavyweight, Freestyle"
71,Taekwondo,Taekwondo Men's Flyweight
72,Boxing,Boxing Men's Heavyweight
73,Athletics,"Athletics Men's 5,000 metres"
74,Cycling,"Cycling Men's Road Race, Individual"
75,Cycling,"Cycling Men's Road Race, Team"
76,Weightlifting,Weightlifting Men's Lightweight
77,Weightlifting,Weightlifting Men's Middleweight
78,Rowing,Rowing Men's Coxless Pairs
79,Judo,Judo Men's Half-Middleweight
80,Taekwondo,Taekwondo Women's Flyweight
81,Boxing,Boxing Men's Flyweight
82,Basketball,Basketball Women's Basketball
83,Diving,Diving Men's Platform
84,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres"
85,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
86,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
87,Handball,Handball Men's Handball
88,Rowing,Rowing Women's Coxless Pairs
89,Boxing,Boxing Men's Middleweight
